,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Ассорти мясное,11.3,23.5,0.9,264
1,,Ассорти овощное,1.0,0.1,3.3,19
2,,Ассорти рыбное,10.4,4.7,0.5,78
3,,Баклажаны по-корейски готовые,0.0,9.0,6.5,109
4,,Баклажаны фаршированные готовые,1.5,6.1,7.3,79
5,,Винегрет овощной готовый,1.8,3.7,8.8,75
6,,Винегрет особый готовый,6.3,18.8,15.9,218
7,,Морковь по-корейски классическая готовая,1.1,8.2,10.7,121
8,,Морковь по-корейски острая готовая,1.2,9.0,12.9,137
9,,Морковь по-корейски с грибами готовая,1.3,5.0,5.7,71
10,,Морковь по-корейски с кальмарами готовая,5.3,11.4,7.7,152
11,,Морковь по-корейски с капустой готовая,0.0,9.0,5.3,113
12,,Морковь по-корейски со спаржей готовая,1.5,7.1,6.1,95
13,,Морковь с чесноком и орехами готовая,2.0,11.5,9.3,148
14,,Морская капуста по-корейски готовая,0.9,7.2,3.1,80
15,,Опята остренькие готовые,2.0,9.5,4.3,110
16,,Салат Алые паруса готовый,6.9,14.8,7.8,189
17,,Салат Ариран готовый,17.9,17.3,2.1,235
18,,Салат Афинский готовый,6.2,10.2,2.3,128
19,,Салат Берендей готовый,0.8,20.2,5.2,205
20,,Салат Бордо готовый,3.5,19.0,7.9,214
21,,Салат Венский готовый,10.2,27.5,2.5,299
22,,Салат Вита готовый,1.1,9.0,6.1,63
23,,Салат Витаминка готовый,1.0,10.1,10.8,137
24,,Салат Витаминный готовый,1.4,13.4,5.8,146
25,,Салат Вкус Италии готовый,11.8,11.0,1.5,153
26,,Салат Воскресенский готовый,1.1,10.1,4.6,114
27,,Салат Восторг готовый,4.6,17.2,8.3,205
28,,Салат Грибной готовый,3.2,13.9,4.4,156
29,,Салат Дальневосточный готовый,0.6,3.1,7.3,59
30,,Салат Дары Сибири готовый,1.3,3.6,5.7,59
31,,Салат Дарьюшка из морской капусты готовый,5.5,20.0,8.0,320
32,,Салат Жемчужина готовый,2.9,7.1,7.0,103
33,,Салат из корейской спаржи готовый,1.2,14.3,3.0,114
34,,Салат из морских водорослей Чука,2.0,6.0,14.0,120
35,,Салат из морской капусты Диетический с крабовыми палочками,6.0,3.0,2.0,84
36,,Салат из морской капусты с зелёным горошком готовый,4.0,5.4,0.0,59
37,,Салат из морской капусты с луком и пряностями,0.0,18.3,0.3,176
38,,Салат из морской капусты с майонезом и ткемалевым соусом готовый,4.0,5.4,0.0,59
39,,Салат из цветной капусты готовый,2.0,2.5,4.5,47
40,,Салат Испанский готовый,12.3,24.5,1.9,288
41,,Салат Итальянский с ветчиной готовый,9.5,14.6,31.7,288
42,,Салат Кальмары готовый,7.6,15.4,18.7,240
43,,Салат Кальмары фаршированные готовый,10.2,16.2,11.8,234
44,,Салат Камчатский готовый,8.1,1.7,6.1,73
45,,Салат Катюша готовый,1.6,7.0,5.5,90
46,,Салат Крабовые палочки готовый,6.6,14.8,13.7,217
47,,Салат Крабовый готовый,9.2,7.4,5.9,128
48,,Салат Красная шапочка готовый,7.7,25.6,5.8,288
49,,Салат Курочка-ряба готовый,11.4,22.4,3.9,261
50,,Салат Лосось готовый,8.3,14.2,17.7,275
51,,Салат Маяк готовый,9.6,24.0,2.6,262
52,,Салат Мимоза готовый,5.7,14.8,7.2,183
53,,Салат Мираж готовый,15.0,8.8,3.3,152
54,,Салат Монастырский готовый,1.5,18.1,7.4,198
55,,Салат Морское ассорти готовый,1.4,4.3,7.3,71
56,,Салат Морской дар готовый,7.4,20.2,2.6,239
57,,Салат Московский готовый,5.3,20.2,6.1,227
58,,Салат Мясной готовый,8.8,16.7,5.0,214
59,,Салат Находка готовый,3.4,21.0,4.6,223
60,,Салат Оливье по-домашнему готовый,5.1,16.5,3.9,187
61,,Салат Оливье с ветчиной готовый,5.4,16.7,7.0,198
62,,Салат Оливье с колбасой готовый,5.4,16.7,7.0,198
63,,Салат Оливье с мясом готовый,5.4,16.7,7.0,198
64,,Салат Охотничий готовый,14.4,14.8,7.3,219
65,,Салат Печеночный готовый,5.6,14.4,3.2,164
66,,Салат Пикантный готовый,5.9,17.7,4.6,202
67,,Салат Птица по-английски готовый,12.6,17.9,1.2,216
68,,Салат Розовый фламинго готовый,7.3,16.0,5.8,206
69,,Салат Русалочка готовый,7.8,15.6,2.7,203
70,,Салат Русский узор готовый,3.2,14.9,8.2,177
71,,Салат Сеул готовый,6.9,7.6,4.5,106
72,,Салат Солнышко готовый,10.0,20.3,3.7,239
73,,Салат Столичный готовый,7.6,18.8,6.4,217
74,,Салат Сыр с грибами готовый,17.0,13.3,0.2,189
75,,Салат Сытницкий готовый,9.2,27.6,2.0,292
76,,Салат Татьянин день готовый,4.0,15.0,2.8,161
77,,Салат Фаворит готовый,16.6,12.3,0.4,178
78,,Салат Фермер готовый,4.7,16.6,2.7,179
79,,Салат Фитнес готовый,1.9,10.1,23.8,192
