,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Тесто пряничное,4.8,2.8,77.7,336
1,,Тесто рубленое,6.0,17.2,40.2,304
2,,Тесто Талосто слоеное дрожжевое,6.1,21.3,36.3,362
3,,Тесто Уральский пекарь слоеное бездрожжевое,6.9,31.8,43.2,487
4,,Тесто фило,7.0,20.0,48.0,441
5,,Тесто Черемушки слоеное бездрожжевое,6.1,26.2,37.1,410
6,,Тесто Черемушки слоеное дрожжевое,6.2,21.5,39.8,378
7,,Улитка Черёмушки с кремом и изюмом,5.2,14.8,45.1,339
8,,Улитка Черёмушки со вкусом апельсина и шоколада,5.6,16.8,35.3,317
9,,Фрукты в шоколаде,0.8,15.6,11.0,179
10,,Халва подсолнечная,11.6,29.7,54.0,523
11,,Халва Рот Фронт в шоколаде,14.3,33.8,44.3,534
12,,Халва тахинная,12.7,29.9,50.6,516
13,,Чак-чак,8.6,1.9,77.9,363
14,,Чурчхела,5.0,15.0,63.0,410
15,,Штрудель Черёмушки с творогом,10.6,21.7,39.2,395
16,,Штрудель Черёмушки с яблоком,4.3,14.7,39.1,306
17,,Язычки слоеные,5.4,21.6,37.5,368
