,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Овсяные хлопья + Отруби Myllyn Paras,16.2,7.6,50.0,335
1,,Овсяные хлопья 4 Life органические,14.0,6.5,56.0,340
2,,Овсяные хлопья Myllyn Paras,14.0,7.5,56.0,350
3,,Овсяные хлопья Myllyn Paras быстрого приготовления,14.0,7.5,56.0,350
4,,Овсяные хлопья Myllyn Paras крупные,14.0,7.5,56.0,359
5,,Овсяные хлопья Nordic с овсяными отрубями,15.0,8.0,53.0,370
6,,Овсяные хлопья Nordic с пшеничными отрубями,15.0,7.6,47.0,360
7,,Овсяные хлопья Агро-Альянс,12.0,5.0,70.0,380
8,,Овсяные хлопья Геркулес,12.5,6.2,61.0,352
9,,Овсяные хлопья Геркулес Фитнес с отрубями,12.3,6.3,61.2,351
10,,Овсяные хлопья Пассим,10.0,6.0,68.0,377
11,,Овсяные хлопья Увелка,11.0,6.2,50.2,305
12,,Перловая каша на воде,3.1,0.4,22.2,109
13,,Перловая каша рассыпчатая,3.1,0.4,23.0,106
14,,Перловая крупа,9.3,1.1,73.7,320
15,,Перловая крупа Мистраль Барли,12.1,0.8,73.4,349
16,,Полба,14.7,2.2,61.2,337
17,,Полбяная каша на воде,5.5,0.9,26.5,127
18,,Пшеница воздушная На Здоровье! со вкусом шоколада,9.9,4.6,79.6,399
19,,Пшеница пророщенная,7.5,1.3,41.4,198
20,,Пшеничная каша Myllyn Paras,13.0,2.0,62.5,325
21,,Пшеничная крупа,11.5,1.3,62.0,316
22,,Пшеничная крупа Агро-Альянс,13.0,1.0,71.0,340
23,,Пшеничная крупа Мистраль кускус,12.0,2.0,72.0,350
24,,Пшеничные зерна мягких сортов,11.8,2.2,59.5,305
25,,Пшеничные зерна твёрдых сортов,13.0,2.5,57.5,304
26,,Пшеничные отруби,14.7,4.1,20.6,180
27,,Пшеничные отруби Ого!,13.8,2.8,61.4,326
28,,Пшённая каша Myllyn Paras,11.2,3.9,55.3,305
29,,Пшенная каша вязкая на воде,3.0,0.7,17.0,90
30,,Пшенная каша рассыпчатая,4.7,1.1,26.1,135
31,,Пшенная крупа,11.5,3.3,69.3,348
32,,Пшенная крупа Мистраль шлифованная,11.5,3.3,66.5,342
33,,Пшенно-рисовые хлопья Агро-Альянс,10.0,4.0,73.0,370
34,,Пшенные хлопья Nordic,12.0,2.9,69.3,334
35,,Пшено элитное Агро-Альянс,12.0,3.0,69.0,350
36,,Ржаные отруби,11.2,3.2,32.0,221
37,,Ржаные отруби Диадар Бородинские хрустящие,13.2,3.2,27.0,190
38,,Ржаные отруби Ого!,13.0,2.0,40.0,274
39,,Ржаные хлопья,6.4,3.2,82.6,343
40,,Ржаные хлопья Myllyn Paras,9.7,2.0,61.3,305
41,,Рис 4 сезона для жарки,2.0,0.5,22.0,110
42,,Рис Yelli Басмати с овощами Бириани,7.0,1.0,77.0,350
43,,Рис Агро-Альянс бурый Slim&Fit,7.5,2.0,77.0,350
44,,Рис Агро-Альянс для итальянской кухни Виола,6.0,0.8,78.0,340
45,,Рис Агро-Альянс для плова,6.5,9.0,79.0,420
46,,Рис Агро-Альянс для ризотто Арборио,6.5,1.0,75.0,340
47,,Рис Агро-Альянс для суши и японской кухни,8.0,0.4,77.0,340
48,,Рис Агро-Альянс Жасмин,7.5,0.2,76.0,340
49,,Рис Агро-Альянс красный Рубин,7.5,3.0,68.0,330
50,,Рис Агро-Альянс кубанский Элитный,6.5,0.5,75.0,330
51,,Рис Агро-Альянс пропаренный Gold,6.5,1.0,79.0,350
52,,Рис Агро-Альянс Смесь золотистого и дикого,8.0,1.0,76.0,340
53,,Рис Агро-Альянс Супер Басмати,9.5,0.2,75.0,340
54,,Рис Агро-Альянс черный Южная ночь,6.5,2.5,52.0,260
55,,Рис Арборио,6.5,0.7,75.4,330
56,,Рис белый,6.7,0.7,78.9,344
57,,Рис белый вареный,2.2,0.5,24.9,116
58,,Рис бурый,7.4,1.8,72.9,337
59,,Рис Дикий + Парбоилд Worlds Rice,13.7,1.0,74.2,358
60,,Рис дикий вареный,4.0,0.3,21.1,100
61,,Рис дикий чёрный,4.1,0.4,21.0,101
62,,Рис длиннозерный,7.1,0.7,78.0,365
63,,Рис для суши,7.0,0.6,75.2,342
64,,Рис Жменька Арборио,6.7,1.5,78.5,354
65,,Рис Жменька длиннозернистый,7.0,1.0,71.4,330
66,,Рис Жменька Жасмин,6.9,0.2,73.4,331
67,,Рис Жменька круглозернистый,7.0,1.0,71.4,330
68,,Рис Жменька нешлифованный,8.0,3.9,52.0,285
69,,Рис Жменька Отборный,7.0,1.0,71.4,330
70,,Рис Жменька пропаренный,7.3,0.2,75.4,341
71,,Рис Жменька пропаренный Gold,7.3,0.2,75.4,341
72,,Рис Жменька Супер Басмати,7.1,0.2,71.2,322
73,,Рис Жменька Суши,7.2,0.3,79.0,347
74,,Рис золотистый,8.1,0.4,78.0,349
75,,Рис Карнароли,7.5,2.6,62.5,303
76,,Рис коричневый,6.3,4.4,65.1,331
77,,Рис коричневый вареный,2.6,0.9,22.8,110
78,,Рис красный нешлифованный,10.5,2.5,70.5,362
79,,Рис круглозерный шлифованный,0.1,0.4,79.0,350
