,"
                  ","
          Продукт        ","
          Бел, г        ","
          Жир, г        ","
          Угл, г        ","
          Кал, ккал        "
0,,Огурец,0.8,0.1,2.8,15.0
1,,Огурец китайский,0.8,0.1,2.5,14.0
2,,Огурец консервированный,2.8,0.0,1.3,16.0
3,,Огурец маринованный,2.8,0.0,1.3,16.0
4,,Огурец парниковый,0.7,0.0,1.8,10.0
5,,Огурец солёный,0.8,0.1,1.7,11.0
6,,Огурцы Бондюэль корнишоны маринованные 3-6 см,1.0,0.2,3.5,20.0
7,,Огурцы Бондюэль маринованные 6-9 см,1.0,0.2,3.5,20.0
8,,Одуванчик,2.7,0.7,6.7,45.0
9,,Оливки,0.8,10.7,6.3,115.0
10,,Оливки Бондюэль с косточкой / без косточки,1.4,18.2,5.1,160.0
11,,Пастернак,1.4,0.5,9.2,47.0
12,,Пастушья сумка,0.7,0.1,5.2,29.0
13,,Патиссон,0.6,0.1,4.3,19.0
14,,Патиссон консервированный,3.9,0.0,2.0,18.0
15,,Пачули,0.0,0.0,0.0,1.0
16,,Перец мини,1.3,0.0,5.7,27.0
17,,Перец Рамиро,1.3,0.1,5.2,30.0
18,,Перец ратунда,1.3,0.1,4.9,26.0
19,,Перец сладкий 4 сезона нарезанный,1.3,0.1,5.4,27.0
20,,Перец сладкий жёлтый,1.3,0.0,5.3,27.0
21,,Перец сладкий зелёный,1.3,0.0,6.9,33.0
22,,Перец сладкий красный,1.3,0.0,5.3,27.0
23,,Перец сладкий маринованный,1.3,0.1,4.9,25.0
24,,Перилла,0.0,0.0,0.0,
25,,Петрушка,3.7,0.4,7.6,47.0
26,,Петрушка (корень),1.5,0.6,10.1,49.0
27,,Подорожник,0.4,0.1,7.0,26.0
28,,Полынь,1.5,0.0,5.0,25.0
29,,Портулак,1.3,0.1,3.4,17.0
30,,Проростки Русский Спраут Испанский горох (нут),7.0,1.0,20.0,110.0
31,,Расторопша пятнистая сухая,24.0,10.0,52.5,396.0
32,,Ревень,0.7,0.1,2.5,13.0
33,,Редис,1.2,0.1,3.4,19.0
34,,Редька белая,1.4,0.0,4.1,21.0
35,,Редька зелёная,2.0,0.2,6.5,32.0
36,,Редька красная,1.2,0.1,3.4,20.0
37,,Редька маргеланская (китайская),1.2,0.0,4.1,21.0
38,,Редька чёрная,1.9,0.2,6.7,35.0
39,,Репа,1.5,0.1,6.2,30.0
40,,Ростки фасоли Бондюэль Мунго,1.5,0.1,1.8,14.0
41,,Руккола,2.6,0.7,2.1,25.0
42,,Салат,1.2,0.3,1.3,12.0
43,,Салат Айсберг,0.9,0.1,1.8,14.0
44,,Салат Афицион,1.5,0.2,2.2,14.0
45,,Салат Батавия,1.5,0.2,2.0,16.0
46,,Салат кочанный,0.9,0.1,1.8,14.0
47,,Салат Лолло Росса,1.5,0.2,2.0,16.0
48,,Салат Мицуна,2.0,0.2,1.5,16.0
49,,Салат Оаклиф,1.5,0.2,2.0,16.0
50,,Салат Полевой,1.1,0.0,3.5,23.0
51,,Салат Радичио,1.5,0.2,3.3,20.0
52,,Салат Романо,1.8,1.1,2.7,17.0
53,,Салат Фризе,1.5,0.0,2.2,14.0
54,,Салат-коктейль Бондюэль Гавайский маринованный,1.7,0.5,20.0,91.0
55,,Салат-коктейль Бондюэль Сомбреро,1.7,0.8,11.9,62.0
56,,Салатный микс Солнечная фазенда Каталония,1.8,0.2,5.9,34.0
57,,Салаты Белая Дача Baby Mix,1.5,0.2,2.3,17.0
58,,Салаты Белая Дача Girls Mix,1.5,0.2,2.3,17.0
59,,Салаты Белая Дача Mens Mix,1.5,0.2,2.3,17.0
60,,Салаты Белая Дача Party Mix,1.5,0.2,2.3,17.0
61,,Салаты Белая Дача Tango Mix,1.5,0.2,2.3,17.0
62,,Салаты Белая Дача Vita Mix,1.5,0.2,2.3,17.0
63,,Салаты Белая Дача Аликанте,1.5,0.2,2.3,17.0
64,,Салаты Белая Дача Ассорти,1.4,0.2,3.1,19.0
65,,Салаты Белая Дача Афиша Еда,1.5,0.2,2.3,17.0
66,,Салаты Белая Дача Весенний Микс,1.4,0.2,2.9,19.0
67,,Салаты Белая Дача Капуста с морковью,1.8,0.1,5.2,27.0
68,,Салаты Белая Дача Молодой шпинат,1.5,0.2,2.3,17.0
69,,Салаты Белая Дача Монпелье,1.5,0.2,2.3,17.0
70,,Салаты Белая Дача Нежный корн,1.5,0.2,2.3,17.0
71,,Салаты Белая Дача Окинава,1.5,0.2,2.3,17.0
72,,Салаты Белая Дача Олимп,1.5,0.2,3.3,20.0
73,,Салаты Белая Дача Пикантный фриссе,1.5,0.2,2.3,17.0
74,,Салаты Белая Дача Пряная рукола,1.5,0.2,2.3,17.0
75,,Салаты Белая Дача Сочный романо,1.5,0.2,2.3,17.0
76,,Салаты Белая Дача Тоскана,1.5,0.2,2.0,16.0
77,,Салаты Белая Дача Хрустящий айсберг,1.5,0.2,2.3,17.0
78,,Свекла,1.5,0.1,8.8,43.0
79,,Свекла Бондюэль в кубиках в кисло-сладком маринаде,0.8,0.1,6.5,30.0
