name,protein,fats,carbs,calories,category
Хлебцы Dr.Korner Злаковый коктейль черничный,9.0,2.0,66.0,318,14
Хлебцы Dr.Korner Семь злаков,12.1,2.4,64.4,327,14
Хлебцы Finn Crisp Caraway с тмином,11.0,2.4,60.0,360,14
Хлебцы Finn Crisp Codiander Бородинские,11.0,2.9,62.0,370,14
Хлебцы Finn Crisp Garlic с чесноком,11.0,4.4,61.0,380,14
Хлебцы Finn Crisp Multigrain многозерновые,12.0,4.8,60.0,380,14
Хлебцы Finn Crisp Original ржаные,11.0,2.4,60.0,360,14
Хлебцы вафельные,11.4,3.5,70.9,368,14
Хлебцы докторские,8.2,2.6,46.3,242,14
Хлебцы Круазетт пшеничные,13.3,4.7,69.7,374,14
Хлебцы Круазетт ржано-пшеничные,12.8,4.9,71.9,382,14
Хлебцы Круазетт ржано-пшеничные с кунжутом,13.7,9.2,65.0,397,14
Хлебцы Круазетт ржано-пшеничные с луком,13.3,4.7,69.7,374,14
Хлебцы Круазетт ржано-пшеничные с сыром,16.9,9.2,69.4,428,14
Хлебцы Круазетт ржаные,14.5,2.3,55.4,300,14
Хлебцы ржаные,11.0,2.7,58.0,310,14
Хлебцы цельнозерновые,10.1,2.3,57.1,295,14
Хлебцы-молодцы Лайт вафельные ржаные,10.1,4.8,65.3,345,14
Чапати,13.8,1.9,75.2,370,14
Шаньги,5.9,9.1,41.9,270,14
Юфка,7.0,20.0,48.0,441,14
