name,protein,fats,carbs,calories,category
Мука льняная Гарнец,25.0,5.0,13.0,305
Мука льняная полуобезжиренная С.Пудовъ,25.0,5.0,40.0,300
Мука миндальная,25.8,54.5,13.0,602
Мука нутовая,10.9,2.9,66.0,337
Мука нутовая Гарнец,21.4,5.5,54.6,362
Мука овсяная Гарнец,11.9,5.8,65.4,306
Мука овсяная диетическая,13.0,6.8,64.9,369
Мука овсяная С.Пудовъ,13.0,7.0,63.0,270
Мука ореховая,50.1,1.8,35.5,333
Мука подсолнечная,48.1,12.0,30.6,423
Мука полбы,17.0,2.4,67.8,361
Мука пшеничная,9.2,1.2,74.9,342
Мука пшеничная 1-го сорта,10.6,1.3,67.6,331
Мука пшеничная 2-го сорта,11.7,1.8,63.7,324
Мука пшеничная высшего сорта,10.3,1.1,68.9,334
Мука пшеничная высшего сорта Myllyn Paras,12.7,2.0,69.5,350
Мука пшеничная из твёрдых сортов Durum,10.4,1.1,71.5,344
Мука пшеничная из цельносмолотого зерна Рязаночка,11.3,1.7,75.0,360
Мука пшеничная цельнозерновая,11.5,2.2,55.8,298
Мука пшеничная цельнозерновая С.Пудовъ,10.0,1.0,70.0,380
Мука пшенично-отрубная Дивинка,11.5,2.2,58.7,208
Мука ржаная грубого помола,9.4,2.3,55.9,280
Мука ржаная обдирная,9.0,1.0,73.0,325
Мука ржаная обойная,10.7,1.9,56.8,293
Мука ржаная Рязаночка,8.9,1.7,61.8,298
Мука ржаная сеяная,6.9,1.4,67.3,304
Мука рисовая Гарнец,7.0,0.6,77.3,321
Мука рисовая диетическая,7.4,0.6,82.0,371
Мука рисовая С.Пудовъ,7.0,1.0,79.0,260
Мука соевая необезжиренная,36.5,18.6,17.9,385
Мука соевая обезжиренная,48.9,1.0,21.7,291
Мука соевая полуобезжиренная,43.0,9.5,19.1,334
Мука тритикале,13.2,1.8,73.1,338
Мука тыквенная,33.0,9.0,23.0,305
Мука чечевичная,28.0,1.0,56.0,321
Мука ячменная,10.0,1.6,56.1,284
Оладушки с вареной сгущенкой,6.8,9.1,49.5,299
Оладушки с вишней,6.3,7.3,51.4,294
Орзо (ризони),12.0,1.2,71.0,350
Папарделле,10.0,1.1,71.5,344
Паста,10.0,1.1,71.5,344
Пельмени,11.9,12.4,29.0,275
Пенне Myllyn Paras,10.4,1.1,71.5,344
Равиоли,15.5,8.0,29.7,245
Ракушка Myllyn Paras,10.4,1.1,71.5,344
Ригатони,8.0,1.2,42.9,220
Рисовая бумага,5.8,0.0,77.0,333
Рисовая бумага Сэн Сой Премиум,5.8,0.0,77.4,333
Рожки Myllyn Paras,10.4,1.1,71.5,344
Сейтан,55.8,3.5,20.3,307
Смесь для низкоуглеводной выпечки Пампушек.нет,36.0,11.8,0.8,260
Смесь мучная Черемуховый торт Гарнец,2.5,0.5,81.0,330
Спагетти,10.4,1.1,71.5,344
Спагетти Buitoni Spaghetti Lunghi,11.5,1.7,71.8,350
Спагетти Myllyn Paras,10.4,1.1,71.5,344
Спагетти Ширатаки,0.0,0.0,0.6,9
Спагеттини,11.2,1.6,68.4,333
Спираль Myllyn Paras,10.4,1.1,71.5,344
Тальятелле,21.7,2.2,63.3,374
Фарфалле,10.4,1.1,71.5,344
Фетучини,14.1,4.4,67.6,384
Фунчоза,0.7,0.5,84.0,320
Чипетке,7.9,1.4,50.6,234
