name,protein,fats,carbs,calories,category
Шоколад,5.4,35.3,56.5,544,20
Шоколад Alpen Gold Апельсин и Бренди,5.7,28.5,58.6,516,20
Шоколад Alpen Gold Арахис и Кукурузные хлопья,7.0,27.7,59.7,518,20
Шоколад Alpen Gold Капучино,5.4,31.6,57.5,539,20
Шоколад Alpen Gold Клубника с Йогуртом,4.8,33.5,57.4,553,20
Шоколад Alpen Gold Миндаль и кокос,6.3,32.6,56.3,545,20
Шоколад Alpen Gold Молочный,5.7,27.9,61.4,522,20
Шоколад Alpen Gold Печенье и Изюм,5.6,25.2,62.5,502,20
Шоколад Alpen Gold Солёный арахис и крекер,7.7,29.0,53.0,525,20
Шоколад Alpen Gold Темный,5.7,28.5,58.7,517,20
Шоколад Alpen Gold Трюфель,5.3,33.5,55.3,546,20
Шоколад Alpen Gold Фундук,6.4,30.3,57.9,532,20
Шоколад Alpen Gold Фундук и Изюм,5.7,25.3,59.6,493,20
Шоколад Alpen Gold Фундук и Хрустящая Вафля,6.8,30.6,55.0,525,20
Шоколад Alpen Gold Черника с Йогуртом,4.8,33.7,57.2,553,20
Шоколад Bounty,3.9,24.6,57.9,471,20
Шоколад Bounty Trio,3.9,24.6,57.9,471,20
Шоколад Bounty Райский Ананас,3.2,25.6,59.0,486,20
Шоколад Bounty Райское Манго,3.0,25.5,59.5,485,20
Шоколад Kinder,8.7,34.7,53.5,561,20
Шоколад Kinder Bueno,9.3,37.5,48.2,568,20
Шоколад Kinder сюрприз,8.6,32.9,53.0,543,20
Шоколад KitKat,6.3,28.2,61.1,524,20
Шоколад KitKat King Size,6.1,29.2,60.9,532,20
Шоколад KitKat Вкус Super Хруст,6.1,29.2,60.9,532,20
Шоколад Lindt Excellence 85% какао,11.0,46.0,19.0,530,20
Шоколад Lindt Excellence 99% какао,13.0,49.0,8.0,530,20
Шоколад M&M's с арахисом,9.6,26.4,62.2,512,20
Шоколад M&M's с шоколадом,4.9,20.3,73.0,472,20
Шоколад M&M's со вкусом лесного ореха,5.0,19.6,70.9,480,20
Шоколад M&M's со вкусом малины,4.3,19.0,71.3,474,20
Шоколад Mars,4.4,18.2,68.0,453,20
Шоколад Mars Max,4.4,18.1,68.0,453,20
Шоколад Milka молочный,5.7,31.0,57.6,534,20
Шоколад Milka с фундуком,6.6,33.8,53.4,545,20
Шоколад Milka с фундуком и изюмом,5.6,26.8,56.9,495,20
Шоколад Milka с цельным фундуком,7.5,36.5,49.0,555,20
Шоколад MilkyWay,3.6,16.8,71.7,452,20
Шоколад MilkyWay 1+1,3.5,16.8,71.7,452,20
Шоколад MilkyWay Crispy Rolls,7.1,26.4,62.1,514,20
Шоколад MilkyWay Клубничный коктейль,3.5,16.8,71.6,452,20
Шоколад Nestle After Eight,2.5,12.8,74.4,428,20
Шоколад Nestle for Men,7.5,33.8,54.9,555,20
Шоколад Nestle for Men с фундуком,8.6,36.5,47.8,572,20
Шоколад Nestle for Men с цельным миндалем,8.6,35.8,51.1,560,20
Шоколад Nestle Nesquik,5.9,22.1,65.6,485,20
Шоколад Nue Bitter Chocolate Cocoa Bean,8.0,48.0,25.0,560,20
Шоколад Nue Milk Chocolate Gianduia,6.5,47.0,40.0,610,20
Шоколад Nuts Арахис,10.6,28.5,49.8,498,20
Шоколад Nuts Мегабайт,6.8,26.7,59.1,504,20
Шоколад Nuts Мегабайт новая нежная нуга,6.6,26.7,59.0,507,20
Шоколад Nuts Ореховый Тюнинг,6.8,26.6,59.1,504,20
Шоколад Picnic,7.4,28.8,56.6,504,20
Шоколад Picnic Мега,7.4,28.8,56.6,504,20
Шоколад Picnic Мега Грецкий орех,4.2,33.2,41.7,473,20
Шоколад Ritter Sport Schokowurfel,7.0,37.0,50.0,562,20
Шоколад Ritter Sport белый с цельным лесным орехом,8.4,39.9,47.6,583,20
Шоколад Ritter Sport горький с благородным марципаном,7.5,27.4,55.8,500,20
Шоколад Ritter Sport горький с какао из Папуа Новая Гвинея,6.2,32.1,52.6,524,20
Шоколад Ritter Sport горький с нежным кремом à la Mousse au Chocolat,6.6,35.9,46.4,535,20
Шоколад Ritter Sport горький с цельным лесным орехом,8.0,38.7,44.7,559,20
Шоколад Ritter Sport горький с элитным какао из Эквадора,8.3,44.6,31.0,558,20
Шоколад Ritter Sport зимний Апельсин-Марципан,6.0,27.0,57.0,497,20
Шоколад Ritter Sport зимний Ванильный Рогалик,6.0,38.0,52.0,571,20
Шоколад Ritter Sport зимний Карамель-Миндаль,7.0,31.0,57.0,532,20
Шоколад Ritter Sport молочный с альпийским молоком,8.3,31.4,55.6,538,20
Шоколад Ritter Sport молочный с вишней Амарена,5.0,38.6,52.0,574,20
Шоколад Ritter Sport молочный с карамелью и орехом,7.5,36.6,50.4,561,20
Шоколад Ritter Sport молочный с клубникой в йогурте,6.3,37.7,52.4,570,20
Шоколад Ritter Sport молочный с кокосовой начинкой,7.0,41.0,48.0,584,20
Шоколад Ritter Sport молочный с кукурузными хлопьями,6.4,28.0,60.5,519,20
Шоколад Ritter Sport молочный с лесным орехом и калифорнийским изюмом,6.9,29.1,55.9,513,20
Шоколад Ritter Sport молочный с миндалем из Калифорнии,11.0,36.8,45.4,557,20
Шоколад Ritter Sport молочный с нежным йогуртом,8.7,38.1,48.4,571,20
Шоколад Ritter Sport молочный с нежным кремом Капучино,6.3,40.5,48.6,584,20
Шоколад Ritter Sport молочный с орехом изюмом и ямайским ромом,7.3,30.8,54.3,524,20
Шоколад Ritter Sport молочный с печеньем,6.0,34.0,55.0,545,20
Шоколад Ritter Sport молочный с цельным лесным орехом,7.0,38.0,47.0,559,20
Шоколад Ritter Sport молочный Эспрессо,6.0,39.0,47.2,561,20
Шоколад Roshen Брют 78% горький,10.0,43.0,25.0,550,20
